rule_id	resource_meta	resource	resource_granular	granular_is_new	granular_parent_meta	granular_reasoning
tlg0062.tlg040.perseus-eng2::1	Access to religious rites	Right to attend Olympic games	Access to sacred spaces	False	Access to religious rites	Strictly states 'Women did not attend the Olympic games' and victors setting up statues.
tlg0062.tlg041.perseus-eng2::0	Right to bodily autonomy	Right to retain hair during mourning	Freedom from state supervision	False	Right to bodily autonomy	Discusses women paying penance/offering to avoid being 'schaven' (shaved) for their beauty.
tlg0062.tlg041.perseus-eng2::2	Right to drink wine	Right to eat fish	Right to dietary choices	True	Right to bodily autonomy	Verbatim states 'thei ne touchen fissche never' because it is a 'holy thynge'.
tlg0062.tlg041.perseus-eng2::3	Right to drink wine	Right to eat doves	Right to dietary choices	True	Right to bodily autonomy	Verbatim states 'the dowve thei ne eten not' because 'sche is holy'.
tlg0062.tlg041.perseus-eng2::4	Right to bodily autonomy	Bodily integrity	Freedom from state supervision	False	Right to bodily autonomy	Refers to 'Galles' (Galli) who 'gelden hem' (castrate themselves) for worship.
tlg0062.tlg041.perseus-eng2::6	Right to inherit property	Marital stability within lineage	Right to marry	True	Right to bodily autonomy	Describes a wife being 'surrendered' or transferred from father to son.
tlg0062.tlg041.perseus-eng2::7	Eligibility for public office	Right to lead royal expeditions	Eligibility for military command	False	Eligibility for public office	Commissioned to 'reule the hoost' (rule the army) and 'perfourme the sacrifises' in the king's name.
tlg0062.tlg041.perseus-eng2::8	Access to religious rites	Right to lead religious construction	Participation in sacred rites	False	Access to religious rites	Verbatim discusses performing sacrifices and ruling the host/work in the temple/holy work.
tlg0062.tlg041.perseus-eng2::14	Access to religious rites	Right of entry to the temple	Access to sacred spaces	False	Access to religious rites	Verbatim distinguishes who may come 'into the great temple' versus the 'little chamber'.
tlg0062.tlg041.perseus-eng2::19	Right to burial	Right to standard interment	Right to a public funeral	False	Right to burial	Refers to the manner in which specific groups (Galli) are 'interred' vs. other men.
tlg0062.tlg041.perseus-eng2::22	Right to drink wine	Right to eat pork	Dietary practices	True	Access to religious rites	Verbatim concerns the prohibition on eating ('eten') swine due to religious uncleanness.
tlg0062.tlg041.perseus-eng2::23	Access to religious rites	Right to hunt or touch doves	Access to sacred spaces	False	Access to religious rites	Concerns the 'holy' status of doves and the prohibition on 'touchen' (touching) them.
tlg0062.tlg041.perseus-eng2::26	Right to bodily autonomy	Right to keep hair before marriage	Freedom from state supervision	False	Right to bodily autonomy	Concerns state-mandated ritual grooming ('scheren here lokkes') before marriage.
tlg0086.tlg034.perseus-eng2::1	Right to remuneration for office	Right to public financing	Access to public subsidies	False	Access to public honors	Verbatim describes the state providing a 'choregus who paid the expenses' for dramatists.
tlg0086.tlg034.perseus-eng2::3	Right to a legal trial	Length of performance time	Right to a trial	False	Right to a legal trial	Refers to the 'water clock' used to regulate timing in 'competitions' and legal performance.
tlg0086.tlg034.perseus-eng2::12	Protection from public libel	Protection from legal or social censure	Protection from slander	False	Protection from public libel	Specifically mentions 'censure' regarding the content of speech or poetry.
tlg0086.tlg034.perseus-eng2::17	Right to valid professional opinion	Right to deviate from technical accuracy	Testifying in court	False	Right to valid professional opinion	Concerns the 'standard of what is correct' and 'technical error' in professional arts like medicine.
tlg0086.tlg034.perseus-eng2::20	Protection from public libel	Protection from vulgar representation	Protection from slander	False	Protection from public libel	Relates to how groups are 'criticized' or represented poorly in public theater.
tlg0540.tlg019.perseus-eng2::0	Right to retain property	Right to retain property	Protection from property seizure	False	Right to retain property	Refers to 'confiscation' of estate and the subsequent sale for the Treasury.
tlg0540.tlg019.perseus-eng2::1	Right to retain property	Right to retain dowry	Right to a dowry	False	Right to a dowry	Verbatim explicitly mentions being 'bereft of the dowry' and the right to claim it from an estate.
tlg0540.tlg019.perseus-eng2::2	Exemption from compulsory public financing	Exemption from compulsory public financing	Exemption from liturgies	False	Exemption from compulsory public financing	Lists duties like 'producer of tragedies' and 'equip a warship' (liturgies).
tlg0540.tlg019.perseus-eng2::3	Protection from capital punishment	Right to be reared by kin	Inheriting property	False	Right to inherit property	Concerns rearing children with means 'ancestors bequeathed' vs. state deprivation.
tlg0540.tlg019.perseus-eng2::4	Right to burial	Right to burial	Protection from execution without trial	False	Protection from capital punishment	Verbatim states individuals were 'put to death without trial' and denied burial.
tlg0540.tlg019.perseus-eng2::5	Exemption from compulsory public financing	Exemption from public service costs	Exemption from liturgies	False	Exemption from compulsory public financing	Refers to 'equipping warships' and performing 'services to the State' with one's purse.
tlg0540.tlg019.perseus-eng2::6	Right to retain property	Right to retain full property value	Exemption from taxes	False	Exemption from taxes	Describes 'special levies' (eisphora) and payments to the state for military supplies.
tlg0540.tlg019.perseus-eng2::7	Right to own land	Right to own land in Attica	Protection from property seizure	False	Right to retain property	Discusses the threat to 'confiscate our property' and relatives losing what belongs to them.
tlg0540.tlg019.perseus-eng2::8	Right to inherit property	Right to inherit property directly	Inheriting property	False	Right to inherit property	Verbatim describes leaving a 'goodly share' to a son and 'inherited from his father'.
tlg0540.tlg019.perseus-eng2::9	Right to a dowry	Right to a marriage dowry	Right to a dowry	False	Right to a dowry	Thebatim mentions 'portioning daughters and sisters', which refers to the provision of a marriage dowry.
tlg0540.tlg025.perseus-eng2::0	Eligibility for public office	Right to perform public services	Exemption from liturgies	False	Exemption from compulsory public financing	The speaker discusses performing 'public services' (liturgies) and seeking to be relieved of them, which concerns the obligation/exemption of liturgies.
tlg0540.tlg025.perseus-eng2::2	Right to a legal trial	Right to a legal trial	Protection from execution without trial	False	Protection from capital punishment	Verbatim explicitly mentions 'condemn several men to death without trial'.
tlg0540.tlg025.perseus-eng2::4	Protection from legal prosecution	Protection from legal prosecution	Immunity from prosecution	False	Protection from legal prosecution	Refers to 'oaths and covenants' (the Amnesty of 403 BC) protecting individuals from punishment for past political conduct.
tlg0540.tlg025.perseus-eng2::5	Exemption from legal audit	Exemption from rendering financial accounts	Exemption from legal audit	False	Exemption from legal audit	Discusses magistrates who 'hold a number of offices without rendering an account', referring to the euthynai or audit.
tlg0540.tlg031.perseus-eng2::0	Eligibility for public office	Eligibility for the Council	Eligibility for the council	False	Eligibility for public office	Verbatim specifies the 'right to sit in Council' (boulē).
tlg0540.tlg031.perseus-eng2::1	Exemption from taxes	Protection from alien tax and patronage	Exemption from taxes	False	Exemption from taxes	Terms like 'aliens’ tax' (metoikion) identify this as a tax resource.
tlg0004.tlg001.perseus-eng2::1	Right to retain property	Right to wear personal ornament	Owning and retaining property	False	Right to retain property	Prohibiting 'personal ornament and the wearing of gold' restricts the right to own/use specific types of property.
tlg0004.tlg001.perseus-eng2::2	Right to bodily autonomy	Freedom of dietary choice	Freedom from state supervision	False	Right to bodily autonomy	The state/customary regulation of 'food' and 'bed' restricts personal autonomy from supervision.
